2.136	0.01	4
6.734	0.01	4
10.716	0.01	2
14.348	0.01	1
18.63	0.01	3
22.595	0.01	1
24.995	0.01	1
29.61	0.01	3
32.009	0.01	3
35.657	0.01	2
40.872	0.01	1
44.521	0.01	1
48.17	0.01	1
51.518	0.01	3
54.251	0.01	3
58.549	0.01	1
60.948	0.01	1
64.297	0.01	4
67.663	0.01	3
71.311	0.01	1
76.526	0.01	4
81.757	0.01	1
86.989	0.01	1
91.904	0.01	2
95.569	0.01	4
98.601	0.01	1
103.183	0.01	2
107.148	0.01	3
111.763	0.01	3
114.479	0.01	3
117.211	0.01	3
122.126	0.01	1
127.341	0.01	3
132.572	0.01	4
136.554	0.01	1
138.954	0.01	2
144.168	0.01	2
146.884	0.01	4
149.616	0.01	2
154.531	0.01	2
159.146	0.01	4
161.562	0.01	4
166.177	0.01	4
170.159	0.01	2
173.191	0.01	3
176.557	0.01	3
181.788	0.01	2
184.837	0.01	4
187.569	0.01	2
192.801	0.01	3
195.533	0.01	2
197.949	0.01	3
200.365	0.01	2
202.764	0.01	4
205.18	0.01	2
207.895	0.01	4
212.81	0.01	4
215.226	0.01	4
218.575	0.01	1
223.173	0.01	1
226.222	0.01	3
228.621	0.01	1
232.287	0.01	1
237.518	0.01	4
241.483	0.01	3
244.216	0.01	3
247.564	0.01	2
249.964	0.01	3
254.245	0.01	2
257.294	0.01	4
262.192	0.01	1
266.807	0.01	3
272.022	0.01	3
274.755	0.01	2
277.47	0.01	4
280.819	0.01	1
283.218	0.01	2
286.25	0.01	1
290.216	0.01	2
294.198	0.01	4
297.546	0.01	3
302.145	0.01	1
306.127	0.01	2
308.842	0.01	4
311.241	0.01	1
315.223	0.01	4
319.205	0.01	3
323.187	0.01	3
328.419	0.01	4
331.151	0.01	2
335.766	0.01	3
339.731	0.01	1
344.03	0.01	1
346.745	0.01	2
349.461	0.01	4
354.692	0.01	2
359.307	0.01	2
364.222	0.01	4
366.638	0.01	4
370.287	0.01	1
373.336	0.01	4
377.934	0.01	3
380.666	0.01	3
385.898	0.01	3
388.614	0.01	2
391.646	0.01	4
394.995	0.01	4
397.41	0.01	4
399.826	0.01	2
404.741	0.01	3
407.14	0.01	4
411.755	0.01	4
414.154	0.01	3
416.887	0.01	1
421.502	0.01	3
424.867	0.01	1
429.466	0.01	2
431.881	0.01	2
434.297	0.01	3
438.596	0.01	2
441.311	0.01	2
444.677	0.01	1
449.891	0.01	1
452.94	0.01	1
458.155	0.01	4
461.187	0.01	1
465.802	0.01	4
469.468	0.01	2
472.5	0.01	2
475.532	0.01	4
478.881	0.01	4
482.846	0.01	4
487.145	0.01	2
490.494	0.01	4
493.859	0.01	1
498.774	0.01	2
503.056	0.01	2
508.287	0.01	4
511.636	0.01	3
514.368	0.01	1
518.65	0.01	2
522.932	0.01	2
525.648	0.01	1
528.68	0.01	4
532.029	0.01	1
534.761	0.01	3
537.177	0.01	2
541.742	0.01	3
546.04	0.01	1
550.339	0.01	2
553.071	0.01	3
558.302	0.01	3
561.668	0.01	1
565.966	0.01	2
571.198	0.01	3
573.597	0.01	4
576.329	0.01	2
580.294	0.01	3
583.643	0.01	1
586.059	0.01	4
588.775	0.01	4
592.74	0.01	1
596.405	0.01	3
598.821	0.01	1
603.103	0.01	3
608.001	0.01	2
610.4	0.01	3
613.749	0.01	4
618.048	0.01	1
622.346	0.01	4
626.961	0.01	3
631.576	0.01	2
635.225	0.01	1
640.439	0.01	2
643.172	0.01	1
647.454	0.01	1
649.869	0.01	3
652.918	0.01	1
655.634	0.01	3
660.549	0.01	2
665.764	0.01	1
668.479	0.01	3
672.145	0.01	3
674.561	0.01	2
679.159	0.01	2
684.057	0.01	3
687.089	0.01	4
691.688	0.01	1
695.969	0.01	4
701.201	0.01	4
703.617	0.01	2
706.016	0.01	1
709.665	0.01	4
714.596	0.01	4
719.811	0.01	1
722.227	0.01	2
726.525	0.01	3
729.557	0.01	2
732.923	0.01	4
738.154	0.01	3

